ts,seq,cmd_type,relay_rtt_ms,authority
120.903,3097,speedj,28,operator
120.925,3098,speedj,28,operator
120.944,3099,speedj,28,operator
120.962,3100,speedj,28,operator
120.983,3101,speedj,28,operator
121.004,3102,speedj,28,operator
121.025,3103,speedj,28,operator
121.043,3104,speedj,28,operator
121.063,3105,speedj,28,operator
121.084,3106,speedj,28,operator
121.103,3107,speedj,28,operator
121.125,3108,speedj,37,operator
121.143,3109,speedj,37,operator
121.163,3110,speedj,37,operator
121.183,3111,speedj,37,operator
121.193,3112,speedj_stop,37,operator
121.976,3113,speedj,65,operator
121.996,3114,speedj,65,operator
122.016,3115,speedj,65,operator
122.037,3116,speedj,65,operator
122.056,3117,speedj,65,operator
122.076,3118,speedj,65,operator
122.097,3119,speedj,65,operator
122.117,3120,speedj,65,operator
122.136,3121,speedj,36,operator
122.159,3122,speedj,36,operator
122.176,3123,speedj,36,operator
122.197,3124,speedj,36,operator
122.217,3125,speedj,36,operator
122.236,3126,speedj,36,operator
122.258,3127,speedj,36,operator
122.277,3128,speedj,36,operator
122.296,3129,speedj,36,operator
122.317,3130,speedj,36,operator
122.336,3131,speedj,36,operator
122.359,3132,speedj,36,operator
122.377,3133,speedj,36,operator
122.396,3134,speedj,36,operator
122.416,3135,speedj,36,operator
122.436,3136,speedj,36,operator
122.459,3137,speedj,36,operator
122.476,3138,speedj,36,operator
122.496,3139,speedj,36,operator
122.517,3140,speedj,36,operator
122.536,3141,speedj,36,operator
122.556,3142,speedj,36,operator
122.576,3143,speedj,36,operator
122.597,3144,speedj,36,operator
122.616,3145,speedj,36,operator
122.637,3146,speedj,36,operator
122.656,3147,speedj,36,operator
122.676,3148,speedj,36,operator
122.697,3149,speedj,36,operator
122.717,3150,speedj,36,operator
122.736,3151,speedj,162,operator
122.758,3152,speedj,162,operator
122.777,3153,speedj,162,operator
122.796,3154,speedj,162,operator
122.816,3155,speedj,162,operator
122.837,3156,speedj,162,operator
122.858,3157,speedj,162,operator
122.876,3158,speedj,162,operator
122.896,3159,speedj,56,operator
122.916,3160,speedj,56,operator
122.936,3161,speedj,56,operator
122.959,3162,speedj,56,operator
122.976,3163,speedj,56,operator
122.997,3164,speedj,56,operator
123.017,3165,speedj,56,operator
