ts,t_ms,x,y,z,rx,ry,rz,role,authority
"2026-05-19T13:21:24.531Z","1779196884531","0.5552839253821023","0.21121662713628875","0.045806786523004156","2.9228826278866316","-1.0643426719895097","-0.07942867671204558","guest","operator"
"2026-05-19T13:21:24.764Z","1779196884764","0.5552705798506331","0.21119038711352037","0.04579990928464869","2.92285103264366","-1.0642724078414154","-0.07937959931725917","guest","operator"
"2026-05-19T13:21:25.095Z","1779196885095","0.5552696622636965","0.21116673360185206","0.0457738466754557","2.9227619087181496","-1.0643167055922271","-0.07944165760445825","guest","operator"
"2026-05-19T13:21:25.398Z","1779196885398","0.5552733215642686","0.21120184893058244","0.045804995904881685","2.9228623663666697","-1.0643538267844188","-0.07939813923571815","guest","operator"
"2026-05-19T13:21:25.608Z","1779196885608","0.5552655242476746","0.21122266942056347","0.04579190708721975","2.922878267529457","-1.0643256795675924","-0.07949207068005736","guest","operator"
"2026-05-19T13:21:25.912Z","1779196885912","0.5552862937094458","0.21121411713223684","0.04582588204470506","2.9229228617803957","-1.0643085739189497","-0.0793770453869716","guest","operator"
"2026-05-19T13:21:26.168Z","1779196886168","0.5552734278369292","0.2111980317589284","0.045799702761460975","2.922851214877886","-1.0642474943184475","-0.07939694981540525","guest","operator"
"2026-05-19T13:21:26.534Z","1779196886534","0.5552680392781593","0.21119214781851486","0.04577234703977873","2.922832075935175","-1.0643500483831057","-0.07949467908235702","guest","operator"
"2026-05-19T13:21:26.749Z","1779196886749","0.5552659546797222","0.21121553490589048","0.045825390907646896","2.9229030779924985","-1.0643130884638796","-0.07941000986019502","guest","operator"
"2026-05-19T13:21:27.032Z","1779196887032","0.5552558228481155","0.21121434380211135","0.04578131019643408","2.9228491270398087","-1.0642488661634733","-0.0795052987392163","guest","operator"
"2026-05-19T13:21:27.352Z","1779196887352","0.5552691256554199","0.21118547976479332","0.045798581213752715","2.922840549501136","-1.0643021405840976","-0.07944345227387146","guest","operator"
"2026-05-19T13:21:27.607Z","1779196887607","0.5552656374207451","0.21116575692759154","0.04576321438282674","2.9227774691421993","-1.0642945339678789","-0.07945748256710505","guest","operator"
"2026-05-19T13:21:27.884Z","1779196887884","0.5552747301106317","0.21119970106042096","0.04582151986146929","2.9228738253470854","-1.0642820635471408","-0.07939283558698641","guest","operator"
"2026-05-19T13:21:28.113Z","1779196888113","0.5552857153403913","0.21122579589410395","0.04582149957708778","2.922890310983591","-1.0643295898279541","-0.07938544825712894","guest","operator"
"2026-05-19T13:21:28.373Z","1779196888373","0.555262049374683","0.21119627042164524","0.04579916244463719","2.9228813612478057","-1.0643146260557006","-0.07948861489084841","guest","operator"
"2026-05-19T13:21:28.673Z","1779196888673","0.5552940790504494","0.2111681190637389","0.04578041818839848","2.9227888612354618","-1.0643301077353484","-0.0793383479600027","guest","operator"
"2026-05-19T13:21:29.005Z","1779196889005","0.5553034245303952","0.21124045384424187","0.045825330295497374","2.9229481569060525","-1.0643624160158638","-0.07936213220607154","guest","operator"
"2026-05-19T13:21:29.236Z","1779196889236","0.5552814179820298","0.21119195617348174","0.04581275929413017","2.9229013297333073","-1.0642979942930435","-0.07939222855650034","guest","operator"
"2026-05-19T13:21:29.493Z","1779196889493","0.5552843063480865","0.21119877534381687","0.045791649613748264","2.9228669225081405","-1.0642782581478123","-0.0793945700085202","guest","operator"
"2026-05-19T13:21:29.754Z","1779196889754","0.5552926232616183","0.2112260019132056","0.045821845387023885","2.9229303206966795","-1.0642879732473742","-0.07935393320047877","guest","operator"
"2026-05-19T13:21:30.027Z","1779196890027","0.5552875270843359","0.21121034207817765","0.04583939017511174","2.922886048288068","-1.0643974541880583","-0.07940219672681217","guest","operator"
"2026-05-19T13:21:30.276Z","1779196890276","0.5552836911260137","0.21117998151979192","0.04578634592021408","2.9228074486426174","-1.064353058807997","-0.07940434330308763","guest","operator"
"2026-05-19T13:21:30.507Z","1779196890507","0.5552788070184573","0.21121072796159474","0.04578455754351979","2.9228343946330044","-1.064308094087183","-0.07938761841034285","guest","operator"
"2026-05-19T13:21:30.765Z","1779196890765","0.5552809399634709","0.211213657495271","0.04582760170154676","2.922907023721408","-1.0643008862776324","-0.07939606282516443","guest","operator"
"2026-05-19T13:21:31.024Z","1779196891024","0.555262243322794","0.21120426136085726","0.04580343420980604","2.922851631503118","-1.0643714866374685","-0.07947250615259455","guest","operator"
"2026-05-19T13:21:31.268Z","1779196891268","0.5552973813325768","0.2111924806238138","0.0457910891394058","2.9228261166152802","-1.0643502228401602","-0.07940059640493312","guest","operator"
"2026-05-19T13:21:31.531Z","1779196891531","0.5552501936477616","0.21120682310124841","0.045758513859822686","2.9228279141795603","-1.06417632556976","-0.07944864912743207","guest","operator"
"2026-05-19T13:21:31.734Z","1779196891734","0.5552795523609333","0.21123691566927968","0.04580376323690502","2.9229427345635504","-1.0643509563704874","-0.07946376329401615","guest","operator"
"2026-05-19T13:21:32.021Z","1779196892021","0.5552738524799679","0.2111852724434819","0.04579064552387235","2.9228229874792744","-1.0643163235922168","-0.0793846266315598","guest","operator"
"2026-05-19T13:21:32.221Z","1779196892221","0.555281781175651","0.2111852508604854","0.045785333989769667","2.9228360194899325","-1.0643507360994335","-0.07948473152528536","guest","operator"
"2026-05-19T13:21:32.490Z","1779196892490","0.5552811632821881","0.21118352091391013","0.04578155296679476","2.9228286651386823","-1.064353999621188","-0.07941339215084961","guest","operator"
"2026-05-19T13:21:32.714Z","1779196892714","0.5552931772946963","0.2112096541568034","0.045829414325748385","2.9229263815183555","-1.0642669482630123","-0.07933734131593939","guest","operator"
"2026-05-19T13:21:32.919Z","1779196892919","0.5553004950107362","0.21119449344657037","0.045815393664959875","2.9228894210203546","-1.0643184488104764","-0.07934869903430661","guest","operator"
"2026-05-19T13:21:33.323Z","1779196893323","0.5552719504975507","0.21119166865244124","0.04577122581699192","2.922787340929985","-1.0642696384062122","-0.07944774702896329","guest","operator"
"2026-05-19T13:21:33.530Z","1779196893530","0.5552860707863747","0.21119130719136708","0.045805797466927506","2.9229082309615784","-1.0643009835684603","-0.07939910856083705","guest","operator"
"2026-05-19T13:21:33.737Z","1779196893737","0.5552920872472779","0.21121113512073408","0.0458221528886357","2.9228992922305106","-1.064366578468174","-0.07938752084590796","guest","operator"
"2026-05-19T13:21:33.965Z","1779196893965","0.5552937159882931","0.21119137393464726","0.045819892609084784","2.922871404149077","-1.0643528052485505","-0.07932985652326674","guest","operator"
"2026-05-19T13:21:34.269Z","1779196894269","0.5550503509160137","0.21118415927322107","0.04573514484031371","2.9227390360659258","-1.0642743317669292","-0.0794753857733522","guest","operator"
"2026-05-19T13:21:34.513Z","1779196894513","0.5547469213272678","0.21118733811874688","0.045760802047034255","2.922806231437131","-1.0642964543635964","-0.07956477185201359","guest","operator"
"2026-05-19T13:21:34.750Z","1779196894750","0.554556696774177","0.21125052255702007","0.04579633335385619","2.922858922900737","-1.0641923405231566","-0.0793662040514039","guest","operator"
"2026-05-19T13:21:35.016Z","1779196895016","0.554245420216889","0.21133175806320012","0.04575407238142787","2.922766981562743","-1.0643162033163804","-0.07947801987763448","guest","operator"
"2026-05-19T13:21:35.317Z","1779196895317","0.5539020260048947","0.21142989774477847","0.045754610424561","2.922771116479369","-1.0642586036395438","-0.07953577852500802","guest","operator"
"2026-05-19T13:21:35.727Z","1779196895727","0.5537220648198045","0.21150004006811612","0.04574337607613552","2.9227916920920833","-1.0642781268415116","-0.07951666973750696","guest","operator"
"2026-05-19T13:21:35.946Z","1779196895946","0.5536563163159589","0.2115290490852221","0.0457749900478889","2.922780858547041","-1.0642887698424477","-0.07946637623212645","guest","operator"
"2026-05-19T13:21:36.228Z","1779196896228","0.553514260789627","0.21157348341216312","0.0457763651791461","2.9228372021781412","-1.0643290543012536","-0.07945609708852748","guest","operator"
"2026-05-19T13:21:36.511Z","1779196896511","0.5532382277306132","0.21164321268212724","0.04578635157840283","2.92281225046107","-1.0643986667968621","-0.0794018365668333","guest","operator"
"2026-05-19T13:21:36.711Z","1779196896711","0.5530046175997081","0.21172801465340343","0.04577048072749795","2.922807528828704","-1.0643199921924589","-0.07952803901991232","guest","operator"
"2026-05-19T13:21:36.990Z","1779196896990","0.5526299139532993","0.21261971010897562","0.045783013648430904","2.9228704879964647","-1.06422815212308","-0.0794087824406151","guest","operator"
"2026-05-19T13:21:37.195Z","1779196897195","0.5524389976285682","0.21366169006441116","0.04581265268610299","2.922858137547799","-1.0643725191703037","-0.0793972160762547","guest","operator"
"2026-05-19T13:21:37.430Z","1779196897430","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:37.665Z","1779196897665","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:37.952Z","1779196897952","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:38.230Z","1779196898230","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:38.430Z","1779196898430","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:38.777Z","1779196898777","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:38.977Z","1779196898977","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:39.289Z","1779196899289","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:39.522Z","1779196899522","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:39.840Z","1779196899840","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:40.200Z","1779196900200","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:40.414Z","1779196900414","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:40.702Z","1779196900702","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:40.902Z","1779196900902","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:41.286Z","1779196901286","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:41.540Z","1779196901540","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:41.745Z","1779196901745","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:41.994Z","1779196901994","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:42.274Z","1779196902274","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:42.491Z","1779196902491","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:42.781Z","1779196902781","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
"2026-05-19T13:21:43.085Z","1779196903085","0.5523829614859791","0.21393729317411092","0.04578742330714666","2.9228466901166654","-1.0641777275685271","-0.07936835683310167","guest","operator"
