ts,t_ms,q0,q1,q2,q3,q4,q5,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,role,authority
"2026-05-19T13:21:24.764Z","1779196884764","0.5801354050636292","-2.0056821308531703","-1.7726246118545532","-0.9872670334628602","-4.68470806280245","5.992749214172363","33.2393102562584","-114.91712114269238","-101.56390892028162","-56.5662342698229","-268.4140002494882","343.3592376524171","guest","operator"
"2026-05-19T13:21:25.095Z","1779196885095","0.5801056027412415","-2.005731245080465","-1.7726088762283325","-0.9873120349696656","-4.684715572987692","5.992764949798584","33.237602708965895","-114.91993518063042","-101.56300733531117","-56.56881266623458","-268.4144305514059","343.3601392373875","guest","operator"
"2026-05-19T13:21:25.398Z","1779196885398","0.5801340341567993","-2.0056821308531703","-1.772615909576416","-0.9872507017901917","-4.684674564992086","5.992794036865234","33.239231709082944","-114.91712114269238","-101.5634103164722","-56.565298533906606","-268.4120809663314","343.361805803545","guest","operator"
"2026-05-19T13:21:25.608Z","1779196885608","0.5801472067832947","-2.00571932415151","-1.7725920677185059","-0.9872670930675049","-4.684621516858236","5.9927849769592285","33.23998644498623","-114.91925216171342","-101.5620442786382","-56.56623768491748","-268.40904153215075","343.3612867091681","guest","operator"
"2026-05-19T13:21:25.912Z","1779196885912","0.5801340341567993","-2.005670209924215","-1.7725796699523926","-0.9872580927661438","-4.684662644063131","5.992753505706787","33.239231709082944","-114.91643812377538","-101.56133393896452","-56.565722005635145","-268.4113979474144","343.3594835392272","guest","operator"
"2026-05-19T13:21:26.168Z","1779196886168","0.5801417827606201","-2.0056988201537074","-1.7725956439971924","-0.9872924250415345","-4.684703771268026","5.992740154266357","33.239675671379","-114.91807736917617","-101.5622491843133","-56.56768910011611","-268.4137543626781","343.35871855804015","guest","operator"
"2026-05-19T13:21:26.477Z","1779196886477","0.5801101326942444","-2.005739828149313","-1.7726134061813354","-0.9872552317431946","-4.684642020856039","5.992773056030273","33.23786225615436","-114.92042695425066","-101.56326688249963","-56.56555808109507","-268.410216324688","343.3606036902511","guest","operator"
"2026-05-19T13:21:26.683Z","1779196886683","0.5801514387130737","-2.0056454143919886","-1.7726134061813354","-0.9872744840434571","-4.684653941784994","5.992777347564697","33.24022891670177","-114.91501744442802","-101.56326688249963","-56.56666115664603","-268.410899343605","343.36084957706123","guest","operator"
"2026-05-19T13:21:26.912Z","1779196886912","0.5801427364349365","-2.0056663952269496","-1.7726248502731323","-0.9873209160617371","-4.684637729321615","5.992727756500244","33.239730312892355","-114.91621955772193","-101.56392258065995","-56.569321515327744","-268.4099704378779","343.3580082183665","guest","operator"
"2026-05-19T13:21:27.166Z","1779196887166","0.5801504850387573","-2.005723615685934","-1.7726372480392456","-0.9873283070376893","-4.684674564992086","5.992786407470703","33.2401742751884","-114.91949804852354","-101.56463292033364","-56.56974498705628","-268.4120809663314","343.36136867143813","guest","operator"
"2026-05-19T13:21:27.437Z","1779196887437","0.5801504850387573","-2.005653520623678","-1.7726044654846191","-0.9873325985721131","-4.684653941784994","5.992751598358154","33.2401742751884","-114.91548189729157","-101.56275461831189","-56.56999087386641","-268.410899343605","343.3593742562005","guest","operator"
"2026-05-19T13:21:27.669Z","1779196887669","0.5801471471786499","-2.0056826076903285","-1.772587537765503","-0.9872375887683411","-4.684690777455465","5.992740154266357","33.23998302989165","-114.91714846344905","-101.56178473144975","-56.5645472130979","-268.4130098720585","343.35871855804015","guest","operator"
"2026-05-19T13:21:27.884Z","1779196887884","0.58013516664505","-2.0056621036925257","-1.7725920677185059","-0.9873043459704895","-4.684686485921041","5.992749214172363","33.239296595880056","-114.91597367091181","-101.5620442786382","-56.568372119033114","-268.41276398524843","343.3592376524171","guest","operator"
"2026-05-19T13:21:28.113Z","1779196888113","0.5801548361778259","-2.005691190759176","-1.7725547552108765","-0.9872833651355286","-4.684670154248373","5.992794036865234","33.24042357709311","-114.91764023706929","-101.55990642942798","-56.56717000573919","-268.41182824933213","343.361805803545","guest","operator"
"2026-05-19T13:21:28.373Z","1779196888373","0.580114483833313","-2.005683561364645","-1.7726249694824219","-0.987270252113678","-4.68462580839266","5.9927449226379395","33.23811155805906","-114.91720310496241","-101.56392941084913","-56.56641868493049","-268.4092874189609","343.35899176560696","guest","operator"
"2026-05-19T13:21:28.673Z","1779196888673","0.580101490020752","-2.0057388744749964","-1.7725920677185059","-0.9872594636729737","-4.6847531239139","5.992764949798584","33.23736706743953","-114.9203723127373","-101.5620442786382","-56.5658005528106","-268.4165820609945","343.3601392373875","guest","operator"
"2026-05-19T13:21:28.938Z","1779196888938","0.580147385597229","-2.005707403222555","-1.7725343704223633","-0.9872259062579651","-4.684644524251119","5.992794036865234","33.23999669026998","-114.91856914279641","-101.55873846707992","-56.563877854559244","-268.4103597586606","343.361805803545","guest","operator"
"2026-05-19T13:21:29.165Z","1779196889165","0.5801100134849548","-2.0056735477843226","-1.772608995437622","-0.987250880604126","-4.684669915829794","5.992727756500244","33.237855425965186","-114.91662936907214","-101.56301416550035","-56.56530877919036","-268.4118145889538","343.3580082183665","guest","operator"
"2026-05-19T13:21:29.432Z","1779196889432","0.5801265239715576","-2.005691190759176","-1.772550344467163","-0.9873041671565552","-4.684687797223226","5.992749214172363","33.238801407165234","-114.91764023706929","-101.5596537124287","-56.56836187374936","-268.4128391173293","343.3592376524171","guest","operator"
"2026-05-19T13:21:29.688Z","1779196889688","0.5801504850387573","-2.005691190759176","-1.7725616693496704","-0.9872465294650574","-4.684674445782797","5.992756366729736","33.2401742751884","-114.91764023706929","-101.56030258039985","-56.56505947728566","-268.4120741361423","343.35964746376726","guest","operator"
"2026-05-19T13:21:29.902Z","1779196889902","0.5801339149475098","-2.005773206750387","-1.7725752592086792","-0.98727901399646","-4.6846951881991785","5.992753505706787","33.23922487889377","-114.92233940721826","-101.56108122196522","-56.566920703834484","-268.41326258905787","343.3594835392272","guest","operator"
"2026-05-19T13:21:30.114Z","1779196890114","0.5801429152488708","-2.0056988201537074","-1.772608995437622","-0.9872670930675049","-4.684653584157125","5.992758274078369","33.23974055817611","-114.91807736917617","-101.56301416550035","-56.56623768491748","-268.4108788530375","343.359756746794","guest","operator"
"2026-05-19T13:21:30.376Z","1779196890376","0.5801309943199158","-2.0056988201537074","-1.7725796699523926","-0.9872303766063233","-4.684690777455465","5.992769241333008","33.23905753925911","-114.91807736917617","-101.56133393896452","-56.56413398665312","-268.4130098720585","343.36038512419765","guest","operator"
